Station_Id_C Year_Data Mon_Data Day_Data Hour_Data PRS PRS_Sea WIN_D WIN_S TEM RHU PRE_1h
59287 2016 1 9 18 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 9 21 1009.8000 1018.3000 94.0000 2.0000 15.5000 80.0000 0.0000 
59287 2016 1 9 21 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 10 0 1010.1000 1018.7000 92.0000 2.1000 15.4000 81.0000 0.0000 
59287 2016 1 10 0 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 10 3 1010.2000 1018.8000 122.0000 2.4000 17.0000 75.0000 0.0000 
59287 2016 1 10 3 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 10 6 1007.0000 1015.5000 89.0000 2.0000 18.3000 72.0000 0.0000 
59287 2016 1 10 6 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 10 9 1007.6000 1016.2000 6.0000 3.8000 16.0000 92.0000 1.6000 
59287 2016 1 10 9 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 10 12 1008.7000 1017.3000 3.0000 4.6000 15.0000 93.0000 4.6000 
59287 2016 1 10 12 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 10 15 1009.4000 1018.0000 73.0000 2.8000 15.5000 93.0000 2.4000 
59287 2016 1 10 15 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 10 18 1008.5000 1017.0000 71.0000 1.8000 15.2000 92.0000 2.6000 
59287 2016 1 10 18 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 10 21 1008.0000 1016.6000 18.0000 2.3000 15.0000 94.0000 2.0000 
59287 2016 1 10 21 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 11 0 1009.4000 1018.0000 356.0000 1.8000 15.1000 94.0000 0.1000 
59287 2016 1 11 0 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 11 3 1009.4000 1017.9000 48.0000 2.5000 18.3000 79.0000 0.0000 
59287 2016 1 11 3 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 11 6 1008.7000 1017.3000 342.0000 2.8000 15.0000 87.0000 0.0000 
59287 2016 1 11 6 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 11 9 1008.9000 1017.5000 352.0000 3.3000 14.5000 88.0000 0.1000 
59287 2016 1 11 9 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 11 12 1010.3000 1018.9000 7.0000 2.9000 13.8000 87.0000 0.0000 
59287 2016 1 11 12 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 11 15 1011.9000 1020.5000 3.0000 3.1000 13.0000 87.0000 0.0000 
59287 2016 1 11 15 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
